Date,Tiker,Price
2021-02-17,TIK1,89.940002
2021-02-18,TIK1,88.639999
2021-02-19,TIK1,89.580002
2021-02-22,TIK1,85.370003
2021-02-23,TIK1,84.739998
2021-02-24,TIK1,86.940002
2021-02-25,TIK1,82.419998
2021-02-26,TIK1,84.510002
2021-03-01,TIK1,86.389999
2021-03-02,TIK1,84.129997
2021-03-03,TIK1,80.860001
2021-03-04,TIK1,77.750000
2021-03-05,TIK1,78.519997
2021-03-08,TIK1,73.959999
2021-03-09,TIK1,78.529999
2021-03-10,TIK1,77.519997
2021-03-11,TIK1,81.230003
2021-03-12,TIK1,81.050003
2021-03-15,TIK1,82.500000
2021-03-16,TIK1,82.750000
2021-03-17,TIK1,82.629997
2021-03-18,TIK1,78.120003
2021-03-19,TIK1,79.059998
2021-03-22,TIK1,80.300003
2021-03-23,TIK1,78.379997
2021-03-24,TIK1,76.480003
2021-03-25,TIK1,76.220001
2021-03-26,TIK1,77.410004
2021-03-29,TIK1,77.139999
2021-03-30,TIK1,76.000000
2021-03-31,TIK1,78.500000
2021-04-01,TIK1,81.089996
